주체	관계유형	대상
이 법	정의함	자본시장의 공정성ㆍ신뢰성 및 효율성을 높여 국민경제의 발전에 이바지함
이 법	정의함	자본시장의 공정성ㆍ신뢰성 및 효율성을 높여 국민경제의 발전에 이바지함
이 법	정의함	금융혁신과 공정한 경쟁을 촉진함
이 법	정의함	금융혁신과 공정한 경쟁을 촉진함
이 법	정의함	투자자를 보호함
이 법	정의함	투자자를 보호함
이 법	정의함	금융투자업을 건전하게 육성함
이 법	정의함	금융투자업을 건전하게 육성함
이 법	요구함	국외에서 이루어진 행위로서 그 효과가 국내에 미치는 경우에 적용될 것
이 법	요구함	국외에서 이루어진 행위로서 그 효과가 국내에 미치는 경우에 적용될 것
특정 신탁	정의함	제78조제1항에 따른 수익증권발행신탁이 아닌 신탁으로서 다음 각 목의 어느 하나에 해당하는 신탁
특정 신탁 정의 (조항 번호 미상)	참조함	제78조제1항
특정 신탁의 수익권	정의함	관리형신탁의 수익권
금융투자상품	위임함	대통령령
금융투자상품	정의함	증권
이 법	정의함	증권
투자계약증권 등 특정 증권	간주함	증권
금융투자상품	정의함	파생상품
증권	정의함	내국인 또는 외국인이 발행한 금융투자상품
투자자	금지함	추가 지급의무를 부담함
증권의 정의	예외로함	투자자가 기초자산에 대한 매매를 성립시킬 수 있는 권리를 행사하게 됨으로써 부담하게 되는 지급의무
제178조	정의함	삭제된 조항
이 법 및 금융관련 법령	위임함	대통령령으로 정하는 증권의 범위
이 법	정의함	증권의 구분 (채무증권, 지분증권, 수익증권, 투자계약증권, 파생결합증권, 증권예탁증권)
이 법	정의함	채무증권 (국채증권, 지방채증권, 특수채증권 등)
이 법	정의함	지분증권
지분증권의 정의	참조함	상법
제110조	정의함	수익증권
계약상의 권리	근거함	제5조제1항제2호
조건부 사채	정의함	객관적이고 합리적인 기준에 따라 미리 정하는 사유가 발생하는 경우 주식으로 전환되거나 상환 및 이자지급 의무가 감면된다는 조건이 붙은 사채
제5조제1항제3호의 적용 대상	예외로함	제5조제1항 각 호 외의 부분 단서에서 정하는 금융투자상품
주권상장법인	권한을가짐	사채를 발행하는 권한
주권상장법인이 발행하는 사채	근거함	제165조의11제1항
제165조의11제1항	참조함	「은행법」
제3의3조	근거함	제33조제1항제2호부터 제4호까지의 규정
제3의3조	정의함	상각형 조건부자본증권, 은행주식 전환형 조건부 자본증권 및 은행지주회사주식 전환형 조건부자본증권
제3의3조	참조함	「금융지주회사법」
제15조의2제1항제2호 또는 제3호	정의함	상각형 조건부자본증권 또는 전환형 조건부자본 증권
제15조의2	상위조항	「보험업법」
제513조	참조함	제469조제2항제2호
제469조제2항제2호	상위조항	제469조
이 법	정의함	증권예탁증권
제[미상]조제8항	참조함	제2항제1호부터 제5호까지의 증권
이 법	요구함	공포한 날부터 시행됨
이 법	요구함	공포한 날부터 시행됨
제2조	요구함	자본시장과 금융투자업에 관한 법률 일부 개정
제2조	요구함	자본시장과 금융투자업에 관한 법률 일부 개정
제134조제2항 각 호 외의 부분 단서	정의함	「노동절 제정에 관한 법률」에 따른 노동절
